Date,Total Count,Null Count,Fill Count,Fill Rate,Min Value,Max Value,Mean Value,Pct_1,Pct_5,Pct_10,Pct_25,Pct_50,Pct_75,Pct_90,Pct_95,Pct_99
201807,10053907,10052788,1119,0.0001113000150090905,-174683.87,24213.6,-21246.686666666665,-112264.8826,-64143.806,-46836.498,-28116.815000000002,-14759.48,-7236.075000000001,-3077.0159999999996,-665.8770000000032,0.0
201808,10063516,10062373,1143,0.00011357859420107246,-202759.19,53189.42,-22907.279457567838,-125319.1348,-70185.001,-49190.854,-28808.075,-16045.07,-8230.23,-3604.436000000002,-2127.927000000005,71.90259999999098
201809,10071010,10070120,890,8.837246711104448e-05,-230568.98,157775.41,-23703.97474157302,-132485.9342,-72813.093,-50270.644,-29058.1425,-16542.14,-8141.77,-3983.5869999999995,-2362.6625000000004,0.0
201810,10097231,10096143,1088,0.00010775231348079488,-211158.97,163985.0,-23537.750992647023,-116249.51819999999,-70039.6295,-49934.464,-30285.335,-16833.01,-8469.2125,-4106.0989999999965,-2262.625000000001,0.0
201811,10136082,10135092,990,9.767087519615568e-05,-263689.03,31365.7,-23443.08697979798,-144344.5089,-63302.8385,-49375.763999999996,-29356.747499999998,-16365.585,-8175.85,-3506.3779999999992,-1896.2500000000011,0.0
201812,10149414,10146729,2685,0.0002645472930752455,-319891.53,20972.31,-17091.78605586592,-104685.9908,-57854.09399999999,-37570.797999999995,-19976.07,-10723.03,-5829.96,-3042.860000000001,-1584.2500000000045,-85.0
201901,10164442,10163447,995,9.789027277641016e-05,-214051.99,22589.99,-23245.186673366832,-129023.09700000001,-73105.53300000001,-48891.242,-28359.095,-15988.8,-8374.404999999999,-3830.546,-1080.2420000000006,0.0
201902,10182892,10181948,944,9.270450869949323e-05,-179060.13,58342.15,-21858.61563559322,-94467.0491,-60989.0125,-46298.965,-28629.5675,-15906.795,-9209.1325,-4008.1509999999957,-2147.5285000000085,0.0
201903,10246512,10245449,1063,0.00010374261992763976,-236701.66,42754.95,-23046.479059266192,-116354.39439999999,-65040.618,-45985.594,-29382.14,-16920.16,-8521.134999999998,-3640.183999999998,-1490.3880000000001,0.0
201904,10285054,10283958,1096,0.00010656239626938273,-240034.26,249775.0,-23017.428594890484,-145809.5425,-68317.4875,-49092.775,-27423.41,-16344.14,-8923.2125,-3988.615,-1654.6075,-85.0
201905,10315753,10314591,1162,0.0001126432554172245,-207403.21,173534.21,-21610.13571428571,-99733.4554,-60115.960999999996,-45697.248999999996,-28907.4325,-16090.535,-8514.06,-4103.249999999999,-1735.6399999999994,323.00580000008284
201906,10334293,10333278,1015,9.821668497303105e-05,-191475.14,89080.27,-24185.432088669964,-135174.9754,-72214.89,-49310.768,-30699.305,-17345.43,-8917.305,-3977.3540000000003,-2082.9440000000013,-85.0
201907,10392630,10390726,1904,0.0001832067532472531,-235500.53,120484.72,-17248.265619747883,-109236.1781,-55904.076,-38767.928,-21463.2025,-11119.68,-5119.165,-2192.5829999999996,-1104.0920000000003,0.0
201908,10426873,10425919,954,9.149435310087694e-05,-214511.37,149902.35,-23562.724371069235,-117085.585,-64695.88199999999,-51839.517,-31155.86,-17051.425,-9280.880000000001,-4436.972999999998,-2144.951000000001,0.0
201909,10454222,10453401,821,7.853286452114753e-05,-316563.86,54200.43,-23705.938550548126,-131052.52799999999,-65059.1,-52524.9,-28783.31,-16268.95,-8811.31,-3644.18,-1797.53,0.0
201910,10486012,10485138,874,8.334913215815507e-05,-184942.61,284482.1,-22958.540331807773,-119320.00929999999,-62318.35799999997,-50403.13799999999,-30687.620000000003,-17588.379999999997,-8218.555,-3434.77,-1131.7915000000285,152.71199999998973
201911,10540665,10539859,806,7.646576378245585e-05,-240393.58,17210.32,-24378.647518610425,-127335.24299999999,-74768.91,-52613.325,-29950.3375,-16742.03,-9119.4675,-4348.95,-2081.3875,0.0
201912,10567354,10566533,821,7.769210722002878e-05,-272583.58,31598.95,-24606.531705237525,-133602.632,-73993.41,-52081.63,-31406.76,-16544.85,-8082.51,-3944.87,-2300.0,-85.0
202001,10609555,10607246,2309,0.00021763401009750174,-266062.26,198455.03,-18158.744772628826,-100657.70999999999,-56371.678,-40909.89,-22891.52,-11966.66,-5818.75,-2546.7559999999953,-1305.2840000000006,-85.0
202002,10636329,10635487,842,7.916265094846164e-05,-198946.06,82221.16,-24278.335831353936,-120116.7521,-73449.9865,-48698.138999999996,-30296.265,-18047.71,-9875.95,-4859.840000000001,-2190.3035000000004,0.0
202003,10672661,10671954,707,6.624402292923948e-05,-332789.34,61326.37,-23762.595261669027,-108484.2864,-63086.16499999999,-50076.116,-31449.36,-16964.72,-9178.635,-5040.280000000002,-2446.650000000002,0.0
202004,10710400,10709920,480,4.4816253361219e-05,-175798.76,20135.72,-25849.913229166672,-115342.9938,-68181.79,-50897.367,-32416.0475,-20279.620000000003,-11369.975,-6305.882,-3362.4660000000167,0.0
202005,10744240,10743846,394,3.6670811523197545e-05,-166031.74,53625.38,-27829.42007614215,-122335.0772,-75059.42,-55089.479,-37538.8525,-21812.385000000002,-12567.85,-7074.268,-5005.211500000009,0.0
202006,10798160,10797715,445,4.1210724790149434e-05,-206673.5,24093.83,-28591.57999999999,-116499.8276,-69492.43400000001,-58262.596,-39957.12,-21442.27,-11539.34,-5720.425999999992,-2199.976000000004,0.0
202007,10902193,10901746,447,4.100092522669521e-05,-172903.82,144136.57,-27168.82060402683,-119853.33940000001,-73331.52699999999,-58736.42999999999,-37181.91,-22464.02,-11697.080000000002,-3579.5579999999864,-239.00000000000034,28186.048200000056
202008,10991991,10991588,403,3.666305767535654e-05,-186662.91,62305.29,-29548.215285359824,-138801.763,-77575.057,-57375.058000000005,-39093.8,-22581.51,-12133.18,-6777.342000000001,-4256.7570000000005,0.0
202009,11105626,11105269,357,3.2145869129754594e-05,-329700.99,22650.6,-28032.38448179272,-129562.46160000001,-77769.97,-59076.632,-36881.79,-20974.65,-9965.04,-4099.1419999999935,-1215.5040000000017,2251.241999999994
202010,11226338,11225960,378,3.367081946045095e-05,-202570.95,94969.38,-24561.10574074073,-128198.9564,-66876.45749999999,-52493.512,-31628.572500000002,-18406.85,-8727.0625,-3541.948,-1273.203500000001,1119.945600000012
202011,11365383,11365099,284,2.4988159219975253e-05,-185717.65,59705.81,-24863.53137323944,-120600.5821,-72152.612,-54829.804,-32461.66,-19166.59,-7651.96,-1769.3989999999978,-405.2030000000023,1331.5651000000219
202012,11471389,11469297,2092,0.00018236675610948247,-347883.18,153275.53,-11494.141959847024,-74874.8544,-38670.1815,-26403.853,-14176.595000000001,-6584.76,-2887.6899999999996,-939.1999999999998,-303.2275000000011,0.0
202101,11582032,11581774,258,2.227588388635086e-05,-128840.65,2829.97,-26303.461976744195,-107471.7917,-74387.7875,-56495.867999999995,-35248.5475,-19827.77,-10443.122500000001,-3625.1519999999978,-2001.6350000000211,0.0
202102,11708293,11708043,250,2.1352386722812625e-05,-341331.82,40256.37,-23671.83411999998,-102437.8382,-60653.771,-46453.717000000004,-29305.184999999998,-18552.644999999997,-10901.51,-3414.7530000000006,-1227.3370000000011,1672.3154999999704
202103,11828201,11827891,310,2.6208550226699734e-05,-211145.94,700.33,-25452.604806451618,-130775.9821,-84555.081,-56238.812,-29852.6,-18448.21,-9299.035,-3326.667999999995,-1160.6514999999984,0.0
